epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6295,1.83113,2.52323,1.04084,0.26317,0.16633,0.11925,0.06412,1.66607,1.55516,0.98416,0.000237412,0.000237412,0.000237412
2,171.294,1.68017,1.54765,0.99435,0.21551,0.21701,0.16228,0.0912,1.63657,1.43146,0.96786,0.000465999,0.000465999,0.000465999
3,244.652,1.64055,1.434,0.98268,0.27467,0.22361,0.19495,0.10743,1.60822,1.33735,0.96203,0.000685161,0.000685161,0.000685161
4,316.576,1.61549,1.37152,0.97664,0.30609,0.23676,0.20969,0.11916,1.56264,1.27887,0.95832,0.000671588,0.000671588,0.000671588
5,389.248,1.58566,1.31659,0.97078,0.30208,0.23493,0.21308,0.11994,1.56383,1.2929,0.95791,0.000657451,0.000657451,0.000657451
6,461.295,1.57816,1.27802,0.9658,0.33046,0.25866,0.23247,0.13163,1.52141,1.20383,0.94686,0.000643314,0.000643314,0.000643314
7,533.893,1.55796,1.24906,0.96267,0.33853,0.26298,0.23849,0.13464,1.50921,1.18411,0.94886,0.000629177,0.000629177,0.000629177
8,606.428,1.53969,1.22217,0.95806,0.34818,0.25781,0.24571,0.13806,1.51395,1.18663,0.94694,0.00061504,0.00061504,0.00061504
9,679.127,1.52704,1.20554,0.95417,0.35085,0.26309,0.24765,0.14003,1.49113,1.17598,0.94391,0.000600902,0.000600902,0.000600902
10,752.782,1.52361,1.1892,0.94988,0.34783,0.26765,0.25204,0.14379,1.47731,1.15936,0.93937,0.000586765,0.000586765,0.000586765
11,825.954,1.50007,1.16411,0.94784,0.36658,0.27537,0.25971,0.14503,1.48117,1.15037,0.94355,0.000572628,0.000572628,0.000572628
12,899.364,1.50329,1.16519,0.94727,0.36525,0.27445,0.26034,0.14751,1.47885,1.13595,0.93816,0.000558491,0.000558491,0.000558491
13,972.264,1.49132,1.14714,0.94634,0.36178,0.2785,0.2556,0.14643,1.46945,1.15385,0.93681,0.000544354,0.000544354,0.000544354
14,1045.48,1.48016,1.14091,0.94114,0.36992,0.28919,0.27042,0.1529,1.45548,1.11938,0.93528,0.000530216,0.000530216,0.000530216
15,1119.06,1.48867,1.13242,0.94088,0.36791,0.29326,0.27316,0.15431,1.4521,1.11132,0.93575,0.000516079,0.000516079,0.000516079
16,1192.12,1.48216,1.12455,0.94183,0.37019,0.29384,0.27159,0.15431,1.44335,1.11934,0.92823,0.000501942,0.000501942,0.000501942
17,1265.81,1.46972,1.11536,0.93786,0.38227,0.29297,0.28185,0.16101,1.44967,1.10278,0.9335,0.000487805,0.000487805,0.000487805
18,1339.31,1.46847,1.10814,0.9374,0.37819,0.29001,0.27752,0.15754,1.43618,1.10003,0.93045,0.000473668,0.000473668,0.000473668
19,1411.96,1.45457,1.09791,0.93625,0.37417,0.28089,0.26989,0.15286,1.46553,1.11015,0.9298,0.00045953,0.00045953,0.00045953
20,1484.89,1.4496,1.09317,0.93394,0.3792,0.2901,0.2765,0.15852,1.4208,1.09105,0.92465,0.000445393,0.000445393,0.000445393
21,1558.11,1.44948,1.08683,0.93277,0.37188,0.29683,0.28158,0.16238,1.41915,1.08557,0.92355,0.000431256,0.000431256,0.000431256
22,1631.48,1.43682,1.07866,0.93095,0.37797,0.29667,0.27843,0.15991,1.42499,1.08178,0.92492,0.000417119,0.000417119,0.000417119
23,1704.35,1.43671,1.07154,0.93186,0.38068,0.30838,0.29046,0.16568,1.41696,1.07585,0.92454,0.000402982,0.000402982,0.000402982
24,1777.69,1.42553,1.06328,0.92903,0.39122,0.29999,0.28427,0.16344,1.41783,1.07502,0.92352,0.000388844,0.000388844,0.000388844
25,1850.44,1.42329,1.05613,0.92787,0.39439,0.30123,0.2903,0.16811,1.4152,1.07467,0.92479,0.000374707,0.000374707,0.000374707
26,1923.32,1.43261,1.05943,0.92956,0.40349,0.30731,0.29881,0.17173,1.40552,1.06302,0.92078,0.00036057,0.00036057,0.00036057
27,1995.96,1.41976,1.05177,0.92392,0.39864,0.30694,0.2969,0.17056,1.4048,1.06965,0.91949,0.000346433,0.000346433,0.000346433
28,2068.7,1.4158,1.04192,0.92281,0.39884,0.30258,0.29277,0.1672,1.41034,1.05694,0.92374,0.000332296,0.000332296,0.000332296
29,2141.85,1.41347,1.04093,0.92298,0.4047,0.30227,0.29951,0.17388,1.39354,1.05394,0.91828,0.000318158,0.000318158,0.000318158
30,2215.32,1.41049,1.03279,0.92266,0.39581,0.30907,0.30082,0.1714,1.40175,1.05646,0.91935,0.000304021,0.000304021,0.000304021
31,2288.71,1.40313,1.02693,0.9223,0.40369,0.30836,0.30324,0.17351,1.39209,1.04691,0.91845,0.000289884,0.000289884,0.000289884
32,2362.49,1.40601,1.02347,0.92085,0.40944,0.31149,0.30501,0.17475,1.39576,1.05101,0.92121,0.000275747,0.000275747,0.000275747
